Current Official Name of Satellite;Country/Org of UN Registry;Country of Operator/Owner;Operator/Owner;Users;Purpose
SpaceBEE-116;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-117;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-118;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-119;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-12;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-120;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-121;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-122;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-123;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-124;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-125;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-126;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-127 ;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-128;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-129;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-13;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-130;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-131;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-132;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-133;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-134;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-135;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-136;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-137;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-138;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-139;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-14 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-15;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-16;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-17;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-18;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-19;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-2;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-20 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-21 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-22 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-23 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-24 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-25 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-26 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-27 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-28 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-29 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-3;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-30 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-31 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-32 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-33 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-34;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-35;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-36 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-37 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-38;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-39 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-4;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-40 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-41 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-42 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-43 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-44 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-45 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-46 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-47 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-48 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-49 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-5;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-50 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-51 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-52 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-53 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-54 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-55 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-56 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-57 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-58 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-59 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-6;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-60 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-61 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-62 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-63 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-64;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-65;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-66;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-67;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-68;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-69;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-7;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-70;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-71;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-72;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-73;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-74;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-75;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-76 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-79 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-77 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-78 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-80;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-81;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-82 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-83;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-84;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-85;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-86 ;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-87;NR (5/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-88;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-89;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-90;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-91;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-92;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-93;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-94;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-95;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-96;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-97;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-98;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-99;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-NS14;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-NZ1 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-NZ10;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-NZ11;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-NZ12;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-NZ13 ;NR (4/22);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-NZ2 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-NZ3;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-NZ4 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-NZ5 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-NZ6 ;USA;USA;Swarm Technologies;Commercial;Communications
SpaceBEE-NZ7;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-NZ8;NR (9/21);USA;Swarm Technologies;Commercial;Communications
SpaceBEE-NZ9;NR (9/21);USA;Swarm Technologies;Commercial;Communications
Spaceway 3;USA;USA;Hughes Space and Communications Co. ;Commercial;Communications
Spaceway F2;USA;USA;DirecTV, Inc.;Commercial;Communications
Spainsat;NR;Spain;Hisdesat/Ministry of Defense;Military;Communications
SPARC-1;USA;USA/Sweden;Air Force Research Laboratory/Swedish Defense Materiel Administration;Military;Technology Development
Spark-1;China;China;Shanghai Engineering Center for Microsatellites;Government;Earth Observation
Spark-1;NR (4/22);USA;Omnispace;Commercial;Communications
Spark-2;China;China;Shanghai Engineering Center for Microsatellites;Government;Earth Observation
SPARTAN;NR (9/21);Bulgaria;Endurosat;Commercial;Technology Development
SPATIUM-I;NR;Japan/Singapore;Kyushu Institute of Technology (KIT)/Nanyang Technological University (NTU);Civil;Technology Development
Spektr-R/RadioAstron;Russia;Multinational;Astro Space Center of Moscow/Russian Academy of Sciences;Government;Space Science
SPIRALE-A;France;France;Ministry of Defense/General Delegation for Ordnance (DGA);Military;Technology Development
SPIRALE-B;France;France;Ministry of Defense/General Delegation for Ordnance (DGA);Military;Technology Development
Spot 6;France;France/Belgium/Sweden;Spot Image;Commercial;Earth Observation
Spot 7;France;France/Belgium/Sweden;Spot Image;Commercial;Earth Observation
SPROUT;Japan;Japan;Nihon University;Civil;Technology Development
SRMSat;India;India;SRM University;Civil;Technology Development
SRSS-1;China;Sudan;Government of Sudan;Government;Earth Observation
SSOT;Chile;Chile;Chilean Air Force;Government/Military;Earth Observation
SSS-1;NR (1/22);China;Beihang University/APSCO;Civil;Technology Development
SSS-2A;NR (1/22);China;Shanghai Jiao Tong University/APSCO;Civil;Technology Development
SSTL-S1-4;United Kingdom;United Kingdom;Surrey Satellite Technology Ltd.;Commercial;Earth Observation
ST-2;NR;Singapore/Taiwan;Singapore Telecommunications Ltd. (SingTel)/Chunghwa Telecom Co. Ltd.;Commercial;Communications
Star One C1;Brazil;Brazil;Embratel Star One;Commercial;Communications
Star One C2;Brazil;Brazil;Embratel Star One;Commercial;Communications
Star One C3;Brazil;Brazil;Embratel Star One;Commercial;Communications
Star One C4;Brazil;Brazil;Embratel Star One;Commercial;Communications
Star One D1;Brazil;Brazil;Embratel Star One;Commercial;Communications
Star One D2;NR (9/21);Brazil;Embratel Star One;Commercial;Communications
Starlink-1007;USA;USA;SpaceX;Commercial;Communications
Starlink-1008;USA;USA;SpaceX;Commercial;Communications
Starlink-1009;USA;USA;SpaceX;Commercial;Communications
Starlink-1010;USA;USA;SpaceX;Commercial;Communications
Starlink-1011;USA;USA;SpaceX;Commercial;Communications
Starlink-1012;USA;USA;SpaceX;Commercial;Communications
Starlink-1013;USA;USA;SpaceX;Commercial;Communications
Starlink-1014;USA;USA;SpaceX;Commercial;Communications
Starlink-1015;USA;USA;SpaceX;Commercial;Communications
Starlink-1016;USA;USA;SpaceX;Commercial;Communications
Starlink-1017;USA;USA;SpaceX;Commercial;Communications
Starlink-1019;USA;USA;SpaceX;Commercial;Communications
Starlink-1020;USA;USA;SpaceX;Commercial;Communications
Starlink-1021;USA;USA;SpaceX;Commercial;Communications
Starlink-1022;USA;USA;SpaceX;Commercial;Communications
Starlink-1023;USA;USA;SpaceX;Commercial;Communications
Starlink-1024;USA;USA;SpaceX;Commercial;Communications
Starlink-1026;USA;USA;SpaceX;Commercial;Communications
Starlink-1027;USA;USA;SpaceX;Commercial;Communications
Starlink-1028;USA;USA;SpaceX;Commercial;Communications
Starlink-1029;USA;USA;SpaceX;Commercial;Communications
Starlink-1030;USA;USA;SpaceX;Commercial;Communications
Starlink-1031;USA;USA;SpaceX;Commercial;Communications
Starlink-1032;USA;USA;SpaceX;Commercial;Communications
Starlink-1033;USA;USA;SpaceX;Commercial;Communications
Starlink-1034;USA;USA;SpaceX;Commercial;Communications
Starlink-1035;USA;USA;SpaceX;Commercial;Communications
Starlink-1036;USA;USA;SpaceX;Commercial;Communications
Starlink-1037;USA;USA;SpaceX;Commercial;Communications
Starlink-1038;USA;USA;SpaceX;Commercial;Communications
Starlink-1039;USA;USA;SpaceX;Commercial;Communications
Starlink-1041;USA;USA;SpaceX;Commercial;Communications
Starlink-1042;USA;USA;SpaceX;Commercial;Communications
Starlink-1043;USA;USA;SpaceX;Commercial;Communications
Starlink-1044;USA;USA;SpaceX;Commercial;Communications
Starlink-1046;USA;USA;SpaceX;Commercial;Communications
Starlink-1047;USA;USA;SpaceX;Commercial;Communications
Starlink-1048;USA;USA;SpaceX;Commercial;Communications
Starlink-1049;USA;USA;SpaceX;Commercial;Communications
Starlink-1052;USA;USA;SpaceX;Commercial;Communications
Starlink-1053;USA;USA;SpaceX;Commercial;Communications
Starlink-1054;USA;USA;SpaceX;Commercial;Communications
Starlink-1055;USA;USA;SpaceX;Commercial;Communications
Starlink-1056;USA;USA;SpaceX;Commercial;Communications
Starlink-1057;USA;USA;SpaceX;Commercial;Communications
Starlink-1058;USA;USA;SpaceX;Commercial;Communications
Starlink-1059;USA;USA;SpaceX;Commercial;Communications
Starlink-1060;USA;USA;SpaceX;Commercial;Communications
Starlink-1061;USA;USA;SpaceX;Commercial;Communications
Starlink-1062;USA;USA;SpaceX;Commercial;Communications
Starlink-1063;USA;USA;SpaceX;Commercial;Communications
Starlink-1065;USA;USA;SpaceX;Commercial;Communications
Starlink-1066;USA;USA;SpaceX;Commercial;Communications
Starlink-1067;USA;USA;SpaceX;Commercial;Communications
Starlink-1068;USA;USA;SpaceX;Commercial;Communications
Starlink-1069;USA;USA;SpaceX;Commercial;Communications
Starlink-1070;USA;USA;SpaceX;Commercial;Communications
Starlink-1071;USA;USA;SpaceX;Commercial;Communications
Starlink-1073;USA;USA;SpaceX;Commercial;Communications
Starlink-1074;USA;USA;SpaceX;Commercial;Communications
Starlink-1076;USA;USA;SpaceX;Commercial;Communications
Starlink-1077;USA;USA;SpaceX;Commercial;Communications
Starlink-1079;USA;USA;SpaceX;Commercial;Communications
Starlink-1080;USA;USA;SpaceX;Commercial;Communications
Starlink-1081;USA;USA;SpaceX;Commercial;Communications
Starlink-1082;USA;USA;SpaceX;Commercial;Communications
Starlink-1083;USA;USA;SpaceX;Commercial;Communications
Starlink-1084;USA;USA;SpaceX;Commercial;Communications
Starlink-1085;USA;USA;SpaceX;Commercial;Communications
Starlink-1086;USA;USA;SpaceX;Commercial;Communications
Starlink-1088;USA;USA;SpaceX;Commercial;Communications
Starlink-1089;USA;USA;SpaceX;Commercial;Communications
Starlink-1090;USA;USA;SpaceX;Commercial;Communications
Starlink-1091;USA;USA;SpaceX;Commercial;Communications
Starlink-1092;USA;USA;SpaceX;Commercial;Communications
Starlink-1093;USA;USA;SpaceX;Commercial;Communications
Starlink-1094;USA;USA;SpaceX;Commercial;Communications
Starlink-1096;USA;USA;SpaceX;Commercial;Communications
Starlink-1098;USA;USA;SpaceX;Commercial;Communications
Starlink-1099;USA;USA;SpaceX;Commercial;Communications
Starlink-1100;USA;USA;SpaceX;Commercial;Communications
Starlink-1102;USA;USA;SpaceX;Commercial;Communications
Starlink-1103;USA;USA;SpaceX;Commercial;Communications
Starlink-1104;USA;USA;SpaceX;Commercial;Communications
Starlink-1106;USA;USA;SpaceX;Commercial;Communications
Starlink-1107;USA;USA;SpaceX;Commercial;Communications
Starlink-1108;USA;USA;SpaceX;Commercial;Communications
Starlink-1109;USA;USA;SpaceX;Commercial;Communications
Starlink-1110;USA;USA;SpaceX;Commercial;Communications
Starlink-1111;NR (3/20);USA;SpaceX;Commercial;Communications
Starlink-1112;USA;USA;SpaceX;Commercial;Communications
Starlink-1113;USA;USA;SpaceX;Commercial;Communications
Starlink-1114;USA;USA;SpaceX;Commercial;Communications
Starlink-1115;USA;USA;SpaceX;Commercial;Communications
Starlink-1116;USA;USA;SpaceX;Commercial;Communications
Starlink-1117;USA;USA;SpaceX;Commercial;Communications
Starlink-1119;USA;USA;SpaceX;Commercial;Communications
Starlink-1120;USA;USA;SpaceX;Commercial;Communications
Starlink-1121;USA;USA;SpaceX;Commercial;Communications
Starlink-1122;USA;USA;SpaceX;Commercial;Communications
Starlink-1123;USA;USA;SpaceX;Commercial;Communications
Starlink-1124;USA;USA;SpaceX;Commercial;Communications
Starlink-1125;USA;USA;SpaceX;Commercial;Communications
Starlink-1126;USA;USA;SpaceX;Commercial;Communications
Starlink-1128;USA;USA;SpaceX;Commercial;Communications
Starlink-1129;USA;USA;SpaceX;Commercial;Communications
Starlink-1130;USA;USA;SpaceX;Commercial;Communications
Starlink-1131;USA;USA;SpaceX;Commercial;Communications
Starlink-1132;USA;USA;SpaceX;Commercial;Communications
Starlink-1133;USA;USA;SpaceX;Commercial;Communications
Starlink-1134;USA;USA;SpaceX;Commercial;Communications
Starlink-1135;USA;USA;SpaceX;Commercial;Communications
Starlink-1136;USA;USA;SpaceX;Commercial;Communications
Starlink-1137;USA;USA;SpaceX;Commercial;Communications
Starlink-1138;USA;USA;SpaceX;Commercial;Communications
Starlink-1139;USA;USA;SpaceX;Commercial;Communications
Starlink-1140;USA;USA;SpaceX;Commercial;Communications
Starlink-1141;USA;USA;SpaceX;Commercial;Communications
Starlink-1142;USA;USA;SpaceX;Commercial;Communications
Starlink-1143;USA;USA;SpaceX;Commercial;Communications
Starlink-1144;USA;USA;SpaceX;Commercial;Communications
Starlink-1145;USA;USA;SpaceX;Commercial;Communications
Starlink-1146;USA;USA;SpaceX;Commercial;Communications
Starlink-1147;USA;USA;SpaceX;Commercial;Communications
Starlink-1148;USA;USA;SpaceX;Commercial;Communications
Starlink-1149;USA;USA;SpaceX;Commercial;Communications
Starlink-1150;USA;USA;SpaceX;Commercial;Communications
Starlink-1151;USA;USA;SpaceX;Commercial;Communications
Starlink-1152;USA;USA;SpaceX;Commercial;Communications
Starlink-1153;USA;USA;SpaceX;Commercial;Communications
Starlink-1154;USA;USA;SpaceX;Commercial;Communications
Starlink-1155;USA;USA;SpaceX;Commercial;Communications
Starlink-1156;USA;USA;SpaceX;Commercial;Communications
Starlink-1157;USA;USA;SpaceX;Commercial;Communications
Starlink-1158;USA;USA;SpaceX;Commercial;Communications
Starlink-1159;USA;USA;SpaceX;Commercial;Communications
Starlink-1160;USA;USA;SpaceX;Commercial;Communications
Starlink-1161;USA;USA;SpaceX;Commercial;Communications
Starlink-1162;USA;USA;SpaceX;Commercial;Communications
Starlink-1165;USA;USA;SpaceX;Commercial;Communications
Starlink-1166;USA;USA;SpaceX;Commercial;Communications
Starlink-1167;USA;USA;SpaceX;Commercial;Communications
Starlink-1168;USA;USA;SpaceX;Commercial;Communications
Starlink-1169;USA;USA;SpaceX;Commercial;Communications
Starlink-1170;USA;USA;SpaceX;Commercial;Communications
Starlink-1171;USA;USA;SpaceX;Commercial;Communications
Starlink-1172;USA;USA;SpaceX;Commercial;Communications
Starlink-1173;USA;USA;SpaceX;Commercial;Communications
Starlink-1174;USA;USA;SpaceX;Commercial;Communications
Starlink-1176;USA;USA;SpaceX;Commercial;Communications
Starlink-1177;USA;USA;SpaceX;Commercial;Communications
Starlink-1179;USA;USA;SpaceX;Commercial;Communications
Starlink-1180;USA;USA;SpaceX;Commercial;Communications
Starlink-1181;USA;USA;SpaceX;Commercial;Communications
Starlink-1183;USA;USA;SpaceX;Commercial;Communications
Starlink-1184;USA;USA;SpaceX;Commercial;Communications
Starlink-1185;USA;USA;SpaceX;Commercial;Communications
Starlink-1186;USA;USA;SpaceX;Commercial;Communications
Starlink-1187;USA;USA;SpaceX;Commercial;Communications
Starlink-1189;USA;USA;SpaceX;Commercial;Communications
Starlink-1190;USA;USA;SpaceX;Commercial;Communications
Starlink-1191;USA;USA;SpaceX;Commercial;Communications
Starlink-1192;USA;USA;SpaceX;Commercial;Communications
Starlink-1193;USA;USA;SpaceX;Commercial;Communications
Starlink-1194;USA;USA;SpaceX;Commercial;Communications
Starlink-1195;USA;USA;SpaceX;Commercial;Communications
Starlink-1196;USA;USA;SpaceX;Commercial;Communications
Starlink-1197;USA;USA;SpaceX;Commercial;Communications
Starlink-1199;USA;USA;SpaceX;Commercial;Communications
Starlink-1200;USA;USA;SpaceX;Commercial;Communications
Starlink-1201;USA;USA;SpaceX;Commercial;Communications
Starlink-1202;USA;USA;SpaceX;Commercial;Communications
Starlink-1203;USA;USA;SpaceX;Commercial;Communications
Starlink-1205;USA;USA;SpaceX;Commercial;Communications
Starlink-1206;USA;USA;SpaceX;Commercial;Communications
Starlink-1207;USA;USA;SpaceX;Commercial;Communications
Starlink-1208;USA;USA;SpaceX;Commercial;Communications
Starlink-1209;USA;USA;SpaceX;Commercial;Communications
Starlink-1210;USA;USA;SpaceX;Commercial;Communications
Starlink-1211;USA;USA;SpaceX;Commercial;Communications
Starlink-1212;USA;USA;SpaceX;Commercial;Communications
Starlink-1213;USA;USA;SpaceX;Commercial;Communications
Starlink-1214;USA;USA;SpaceX;Commercial;Communications
Starlink-1215;USA;USA;SpaceX;Commercial;Communications
Starlink-1216;USA;USA;SpaceX;Commercial;Communications
Starlink-1217;USA;USA;SpaceX;Commercial;Communications
Starlink-1218;USA;USA;SpaceX;Commercial;Communications
Starlink-1219;USA;USA;SpaceX;Commercial;Communications
Starlink-1221;USA;USA;SpaceX;Commercial;Communications
Starlink-1222;USA;USA;SpaceX;Commercial;Communications
Starlink-1224;USA;USA;SpaceX;Commercial;Communications
Starlink-1225;USA;USA;SpaceX;Commercial;Communications
Starlink-1226;USA;USA;SpaceX;Commercial;Communications
Starlink-1227;USA;USA;SpaceX;Commercial;Communications
Starlink-1228;USA;USA;SpaceX;Commercial;Communications
Starlink-1229;USA;USA;SpaceX;Commercial;Communications
Starlink-1230;USA;USA;SpaceX;Commercial;Communications
Starlink-1231;USA;USA;SpaceX;Commercial;Communications
Starlink-1232;USA;USA;SpaceX;Commercial;Communications
Starlink-1233;USA;USA;SpaceX;Commercial;Communications
Starlink-1234;USA;USA;SpaceX;Commercial;Communications
Starlink-1235;USA;USA;SpaceX;Commercial;Communications
Starlink-1236;USA;USA;SpaceX;Commercial;Communications
Starlink-1237;USA;USA;SpaceX;Commercial;Communications
Starlink-1238;USA;USA;SpaceX;Commercial;Communications
Starlink-1239;USA;USA;SpaceX;Commercial;Communications
Starlink-1240;USA;USA;SpaceX;Commercial;Communications
Starlink-1241;USA;USA;SpaceX;Commercial;Communications
Starlink-1243;USA;USA;SpaceX;Commercial;Communications
Starlink-1244;USA;USA;SpaceX;Commercial;Communications
Starlink-1245;USA;USA;SpaceX;Commercial;Communications
Starlink-1246;USA;USA;SpaceX;Commercial;Communications
Starlink-1247;USA;USA;SpaceX;Commercial;Communications
Starlink-1255;USA;USA;SpaceX;Commercial;Communications
Starlink-1256;USA;USA;SpaceX;Commercial;Communications
Starlink-1257;USA;USA;SpaceX;Commercial;Communications
Starlink-1258;USA;USA;SpaceX;Commercial;Communications
Starlink-1259;USA;USA;SpaceX;Commercial;Communications
Starlink-1260;USA;USA;SpaceX;Commercial;Communications
Starlink-1261;USA;USA;SpaceX;Commercial;Communications
Starlink-1262;USA;USA;SpaceX;Commercial;Communications
Starlink-1263;USA;USA;SpaceX;Commercial;Communications
Starlink-1264;USA;USA;SpaceX;Commercial;Communications
Starlink-1265;USA;USA;SpaceX;Commercial;Communications
Starlink-1266;USA;USA;SpaceX;Commercial;Communications
Starlink-1267;USA;USA;SpaceX;Commercial;Communications
Starlink-1269;USA;USA;SpaceX;Commercial;Communications
Starlink-1270;USA;USA;SpaceX;Commercial;Communications
Starlink-1271;USA;USA;SpaceX;Commercial;Communications
Starlink-1272;USA;USA;SpaceX;Commercial;Communications
Starlink-1273;USA;USA;SpaceX;Commercial;Communications
Starlink-1274;USA;USA;SpaceX;Commercial;Communications
Starlink-1275;USA;USA;SpaceX;Commercial;Communications
Starlink-1276;USA;USA;SpaceX;Commercial;Communications
Starlink-1277;USA;USA;SpaceX;Commercial;Communications
Starlink-1278;USA;USA;SpaceX;Commercial;Communications
Starlink-1279;USA;USA;SpaceX;Commercial;Communications
Starlink-1280;USA;USA;SpaceX;Commercial;Communications
Starlink-1281;USA;USA;SpaceX;Commercial;Communications
Starlink-1282;USA;USA;SpaceX;Commercial;Communications
Starlink-1283;USA;USA;SpaceX;Commercial;Communications
Starlink-1284;USA;USA;SpaceX;Commercial;Communications
Starlink-1285;USA;USA;SpaceX;Commercial;Communications
Starlink-1286;USA;USA;SpaceX;Commercial;Communications
Starlink-1287;USA;USA;SpaceX;Commercial;Communications
Starlink-1288;USA;USA;SpaceX;Commercial;Communications
Starlink-1289;USA;USA;SpaceX;Commercial;Communications
Starlink-1290;USA;USA;SpaceX;Commercial;Communications
Starlink-1291;USA;USA;SpaceX;Commercial;Communications
Starlink-1292;USA;USA;SpaceX;Commercial;Communications
Starlink-1293;USA;USA;SpaceX;Commercial;Communications
Starlink-1294;USA;USA;SpaceX;Commercial;Communications
Starlink-1295;USA;USA;SpaceX;Commercial;Communications
Starlink-1296;USA;USA;SpaceX;Commercial;Communications
Starlink-1297;USA;USA;SpaceX;Commercial;Communications
Starlink-1298;USA;USA;SpaceX;Commercial;Communications
Starlink-1299;USA;USA;SpaceX;Commercial;Communications
Starlink-1300;USA;USA;SpaceX;Commercial;Communications
Starlink-1301;USA;USA;SpaceX;Commercial;Communications
Starlink-1302;USA;USA;SpaceX;Commercial;Communications
Starlink-1303;USA;USA;SpaceX;Commercial;Communications
Starlink-1304;USA;USA;SpaceX;Commercial;Communications
Starlink-1305;USA;USA;SpaceX;Commercial;Communications
Starlink-1306;USA;USA;SpaceX;Commercial;Communications
Starlink-1307;USA;USA;SpaceX;Commercial;Communications
Starlink-1308;USA;USA;SpaceX;Commercial;Communications
Starlink-1309;USA;USA;SpaceX;Commercial;Communications
Starlink-1310;USA;USA;SpaceX;Commercial;Communications
Starlink-1312;USA;USA;SpaceX;Commercial;Communications
